Sprite_1.png
"Walking",64,"",8,8
"Running",64,"",8,8
"Idle 1",24,"",3,8
"Idle 2",24,"",3,8
"Idle 3",24,"",3,8
"Idle 4",24,"",3,8
"Idle 5",24,"",3,8
"Idle 6",24,"",3,8
"Kneel",24,"",3,8
"Interact",24,"",3,8
"Sleep",24,"",3,8
"Sitting",24,"",3,8
"Throw",24,"",3,8
"Use Item",24,"",3,8
"Casting Idle",24,"",3,8
"Casting",24,"",3,8
"Block Shield",24,"",3,8
"Block Unarmed",24,"",3,8
"Evade",24,"",3,8
"Get Hit",24,"",3,8
"Idle Unarmed",24,"",3,8
Sprite_2.png
"Punch",24,"",3,8
"Kick",24,"",3,8
"Dead",48,"",6,8
"1-H Idle General",24,"",3,8
"1-H Idle Slouched",24,"",3,8
"1-H Idle W/Shield",24,"",3,8
"Attack 1-H Overhead",24,"",3,8
"Attack 1-H Side Slash",24,"",3,8
"Attack 1-H Stab",24,"",3,8
"2-H Idle General 1",24,"",3,8
"2-H Idle General 2",24,"",3,8
"2-H Idle Polearm 1",24,"",3,8
"2-H Idle Polearm Special",24,"",3,8
"Attack 2-H Slash",24,"",3,8
"Attack Polearm",24,"",3,8
"Idle Dual-Wield",24,"",3,8
"Attack Dual-Wield",24,"",3,8
"Idle Bow",24,"",3,8
"Idle XBow",24,"",3,8
"Attack Bow",24,"",3,8
"Attack XBow",24,"",3,8
"Idle Pistol 1",24,"",3,8
"Idle Pistol 2",24,"",3,8
"Idle Pistol 3",24,"",3,8
Sprite_3.png
"Attack Pistol 1",24,"",3,8
"Attack Pistol 2",24,"",3,8
"Idle MG 1",24,"",3,8
"Idle MG 2",24,"",3,8
"Attack MG 1",24,"",3,8
"Idle Rifle 1",24,"",3,8
"Attack Rifle",24,"",3,8
"Critical Health Idle 1",24,"",3,8
"Critical Health Idle 2",24,"",3,8
"Critical Health Idle 3",24,"",3,8
"Critical Health Idle 4",24,"",3,8
"Behavior Cleaning Object",24,"",3,8
"Behavior Begging",24,"",3,8
"Behavior Crying",24,"",3,8
"Behavior Tapping Foot",24,"",3,8
"Behavior Hand Casual",24,"",3,8
"Behavior Instrument",24,"",3,8
"Behavior Merchant",24,"",3,8
"Behavior Head Scratch",24,"",3,8
"Behavior Sweeping",24,"",3,8
"Behavior Sit and Write",24,"",3,8
"Behavior Sit on Ground",24,"",3,8
"Behavior Crouch",24,"",3,8
"Behavior Casual Sit",24,"",3,8
"Behavior Rest",24,"",3,8
Sprite_4.png
"Sneak",64,"",8,8
"Pray/Meditate Standing",24,"",3,8
"Pray/Meditate Kneel",24,"",3,8
"SJump",24,"",3,8
"Drink",24,"",3,8
"Climb",24,"",3,8
"Behavior Sit and Tinker",24,"",3,8
"Woozy",24,"",3,8
"Attack 2-H Swing",24,"",3,8
"Search",24,"",3,8
